serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AGN5A3Y,0,0,,,,0,0,0,1,0.0009598840842954814,,2019-06-01,
2AGN7GZY,0,0,,,,0,0,0,1,0.0004565895942505449,,2019-08-13,
2AGN7XVY,0,0,,,,0,0,0,1,0.033948302268981934,,2019-08-13,
2AGN7XYY,0,0,,,,0,0,0,1,0.00943220779299736,,2019-05-27,
2AGN853Y,0,0,,,,0,0,0,1,0.0009125251090154052,,2019-08-13,
2AGN8H9Y,0,0,,,,0,0,0,1,0.0009008131455630064,,2019-08-13,
2AGN8Y9Y,0,0,,,,0,0,0,1,0.011062421835958958,,2019-08-13,
2AGN8ZGY,0,0,,,,0,0,0,1,0.0034055483993142843,,2019-06-01,
2AGN90RY,1,0,,2023-12-07,,0,0,1,0,0.04960956797003746,,2019-08-13,
2AGN9N4Y,1,1,2025-01-27,2025-03-06,38.0,1,0,0,0,0.12169896066188812,0.10002012550830841,2019-08-13,1994.0
2AGNAK7Y,0,0,,,,0,0,0,1,0.0008925513830035925,,2019-08-13,
2AGNAKGY,0,0,,,,0,0,0,1,0.0014169963542371988,,2019-08-13,
2AGNAYKY,0,0,,,,0,0,0,1,0.0009930850937962532,,2019-08-13,
2AGNBWPY,0,0,,,,0,0,0,1,0.001408673939295113,,2019-08-13,
2AGND0EY,0,0,,,,0,0,0,1,0.004248607438057661,,2019-08-13,
2AGNEAHY,0,0,,,,0,0,0,1,0.0013338983990252018,,2019-08-13,
2AGNEK5Y,0,0,,,,0,0,0,1,0.00996025837957859,,2019-08-13,
2AGNEN9Y,0,0,,,,0,0,0,1,0.0025421916507184505,,2019-08-13,
2AGNEREY,0,0,,,,0,0,0,1,0.0067833042703568935,,2019-08-13,
2AGNGZPY,0,0,,,,0,0,0,1,0.0010954566532745957,,2019-05-27,
2AGNJE2Y,0,0,,,,0,0,0,1,0.001711672288365662,,2019-06-01,
2AGNJG7Y,0,0,,,,0,0,0,1,0.001095701940357685,,2019-08-13,
2AGNJGHY,0,0,,,,0,0,0,1,0.002049944596365094,,2019-08-13,
2AGNJRYY,0,0,,,,0,0,0,1,0.0008978687692433596,,2019-06-01,
2AGNJTAY,0,0,,,,0,0,0,1,0.0012106397189199924,,2019-08-13,
2AGNJTRY,0,0,,,,0,0,0,1,0.0008944515720941126,,2019-08-13,
2AGNKB9Y,1,0,,2023-11-29,,0,0,1,0,0.0010846260702237487,,2019-08-13,
2AGNKGXY,0,0,,,,0,0,0,1,0.0010378555161878467,,2019-08-13,
2AGNKNJY,0,0,,,,0,0,0,1,0.0011146648321300745,,2019-08-13,
2AGNKSPY,0,0,,,,0,0,0,1,0.0010794608388096094,,2019-08-13,
2AGNKV4Y,0,0,,,,0,0,0,1,0.001699041691608727,,2019-08-13,
2AGNL61Y,0,0,,,,0,0,0,1,0.0020217597484588623,,2019-05-16,
2AGNNTHY,0,0,,,,0,0,0,1,0.014470396563410759,,2019-05-16,
2AGNT47Y,0,0,,,,0,0,0,1,0.002198467031121254,,2019-05-16,
2AGP393Y,1,1,2020-11-27,2023-04-06,860.0,1,0,0,0,0.3133047819137573,0.09023117274045944,2019-06-01,545.0
2AGP43EY,1,0,,2024-09-01,,0,0,1,0,0.014974180608987808,,2019-05-16,
2AGP5EDY,0,0,,,,0,0,0,1,0.0012903392780572176,,2019-05-16,
2AGP5GBY,0,0,,,,0,0,0,1,0.0012002541916444898,,2019-05-16,
2AGP5J1Y,0,0,,,,0,0,0,1,0.0011642611352726817,,2019-05-16,
2AGP6TYY,0,0,,,,0,0,0,1,0.0014335334999486804,,2019-05-16,
2AGP6UBY,0,0,,,,0,0,0,1,0.0011283615604043007,,2019-05-16,
2AGP9W7Y,0,0,,,,0,0,0,1,0.0768626257777214,,2019-05-16,
2AGPHHKY,0,0,,,,0,0,0,1,0.0013804486952722073,,2019-06-01,
2AGPHHTY,0,0,,,,0,0,0,1,0.001222190330736339,,2019-06-01,
2AGPJAVY,0,0,,,,0,0,0,1,0.00034978974144905806,,2019-05-27,
2AGPJBGY,0,0,,,,0,0,0,1,0.0003952920960728079,,2019-05-27,
2AGPJBNY,0,0,,,,0,0,0,1,0.0003489697119221091,,2019-05-27,
2AGPJE5Y,0,0,,,,0,0,0,1,0.0020253995899111032,,2019-05-16,
2AGPJGPY,1,0,,2021-02-22,,0,0,1,0,0.014039672911167145,,2019-05-16,
2AGPJH1Y,1,0,,2024-08-11,,0,0,1,0,0.02353999763727188,,2019-05-16,
2AGPJHAY,0,0,,,,0,0,0,1,0.0009037515847012401,,2019-08-13,
2AGPJHXY,0,0,,,,0,0,0,1,0.00039731027209199965,,2019-05-27,
2AGPJL8Y,0,0,,,,0,0,0,1,0.0021026362664997578,,2019-05-27,
2AGPJLWY,0,0,,,,0,0,0,1,0.0008915543439798057,,2019-08-13,
2AGPJMRY,0,0,,,,0,0,0,1,0.0014573317021131516,,2019-08-13,
2AGPJP0Y,0,0,,,,0,0,0,1,0.00036728408304043114,,2019-05-27,
2AGPK9HY,0,0,,,,0,0,0,1,0.0023744453210383654,,2019-08-13,
2AGPKA3Y,0,0,,,,0,0,0,1,0.008391123265028,,2019-08-13,
2AGPKALY,0,0,,,,0,0,0,1,0.0017202869057655334,,2019-05-16,
2AGPKARY,0,0,,,,0,0,0,1,0.0019283915171399713,,2019-05-16,
2AGPKB2Y,0,0,,,,0,0,0,1,0.000546719238627702,,2019-05-27,
2AGPKTUY,0,0,,,,0,0,0,1,0.0018281762022525072,,2019-05-16,
2AGPKVGY,0,0,,,,0,0,0,1,0.0014197821728885174,,2019-05-16,
2AGPKWNY,1,0,,2023-10-29,,0,0,1,0,0.021113775670528412,,2019-05-16,
2AGPKX4Y,0,0,,,,0,0,0,1,0.007265734951943159,,2019-05-16,
2AGPL2YY,0,0,,,,0,0,0,1,0.0018933583050966263,,2019-05-16,
2AGPL4UY,0,0,,,,0,0,0,1,0.0014696249272674322,,2019-05-16,
2AGPL4ZY,0,0,,,,0,0,0,1,0.0014808118576183915,,2019-05-27,
2AGPLSSY,0,0,,,,0,0,0,1,0.0013270259369164705,,2019-05-16,
2AGPMDVY,0,0,,,,0,0,0,1,0.0004325960180722177,,2019-05-27,
2AGPMEPY,0,0,,,,0,0,0,1,0.0014319118345156312,,2019-05-16,
