serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
ZCH05WKW,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-13,
ZCH05XCK,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-25,
ZCH060HW,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-10-30,
ZCH060KB,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-10-30,
ZCH060L8,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-12-21,
ZCH060PL,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-14,
ZCH060SS,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-05,
ZCH060TK,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-12-20,
ZCH060W4,0,0,,,,0,0,0,1,0.017441586617893527,,2017-11-09,
ZCH060X6,0,0,,,,0,0,0,1,0.011640645817138558,,2017-10-30,
ZCH061AA,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-06,
ZCH0626R,0,1,2019-04-09,,,0,1,0,0,0.26939316319117,0.14296096940527972,2018-01-06,458.0
ZCH0655R,0,0,,,,0,0,0,1,0.0017491339756851825,,2017-10-30,
ZCH0657H,1,0,,2019-11-15,,0,0,1,0,0.0673570177711587,,2017-10-30,
ZCH065A1,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH065AT,0,0,,,,0,0,0,1,0.0017491339756851825,,2017-10-30,
ZCH065DF,1,0,,2018-08-02,,0,0,1,0,0.06936783431304883,,2017-10-30,
ZCH065FR,0,0,,,,0,0,0,1,0.026046438898164156,,2017-10-30,
ZCH065MN,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-14,
ZCH065N3,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-14,
ZCH065S8,0,0,,,,0,0,0,1,0.0017491339756851825,,2017-10-30,
ZCH065SX,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-12-20,
ZCH065X8,0,0,,,,0,0,0,1,0.0017491339756851825,,2017-10-30,
ZCH065XB,0,0,,,,0,0,0,1,0.0017491339756851825,,2018-01-17,
ZCH065ZG,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH0661H,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-06,
ZCH0664K,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-09,
ZCH0668M,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-10-30,
ZCH066AE,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-10-30,
ZCH066AV,0,0,,,,0,0,0,1,0.012176292533533783,,2017-11-09,
ZCH066DY,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-10-30,
ZCH066ET,1,0,,2018-05-13,,0,0,1,0,0.024280355059044127,,2017-11-09,
ZCH066KR,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-10-30,
ZCH066KX,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-10-30,
