serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score
ZCH06GNL,0,0,,,,0,0,0,1,0.5300742983818054,
ZCH06GPN,1,1,2019-07-07,2019-07-08,1.0,1,0,0,0,0.9785441160202026,0.9721502065658569
ZCH06GRT,0,0,,,,0,0,0,1,0.6422387361526489,
ZCH06GT9,0,0,,,,0,0,0,1,0.6097424626350403,
ZCH06GVN,1,1,2020-11-24,2020-12-21,27.0,1,0,0,0,0.9701839685440063,0.9668965339660645
ZCH06GWM,0,0,,,,0,0,0,1,0.5723990797996521,
ZCH06GY8,1,1,2018-10-18,2018-10-18,0.0,1,0,0,0,0.9818710088729858,0.9818710088729858
ZCH06H00,0,0,,,,0,0,0,1,0.4387996196746826,
ZCH06H07,0,0,,,,0,0,0,1,0.7515704035758972,
ZCH06H0H,0,0,,,,0,0,0,1,0.5826429724693298,
ZCH06H2X,0,0,,,,0,0,0,1,0.5431675314903259,
ZCH06H35,0,0,,,,0,0,0,1,0.5473825931549072,
ZCH06H3G,0,0,,,,0,0,0,1,0.5654209852218628,
ZCH06H58,1,0,,2019-09-18,,0,0,1,0,0.5362728834152222,
ZCH06H6R,0,0,,,,0,0,0,1,0.5899307131767273,
ZCH06H8V,0,0,,,,0,0,0,1,0.505692720413208,
ZCH06H9C,0,0,,,,0,0,0,1,0.6550304889678955,
ZCH06HA1,0,0,,,,0,0,0,1,0.6540934443473816,
ZCH06HAL,0,0,,,,0,0,0,1,0.6160861253738403,
ZCH06HAP,0,0,,,,0,0,0,1,0.5473825931549072,
ZCH06HAV,0,0,,,,0,0,0,1,0.5162554979324341,
ZCH06HCB,0,0,,,,0,0,0,1,0.7478872537612915,
ZCH06HE2,0,0,,,,0,0,0,1,0.4680766463279724,
ZCH06HGG,0,0,,,,0,0,0,1,0.5863010883331299,
ZCH06HGL,0,0,,,,0,0,0,1,0.5539101362228394,
ZCH06HGT,0,0,,,,0,0,0,1,0.7255179286003113,
ZCH06HKN,0,0,,,,0,0,0,1,0.7571674585342407,
ZCH06HLJ,0,0,,,,0,0,0,1,0.9583147764205933,
ZCH06HLR,0,0,,,,0,0,0,1,0.9445264935493469,
ZCH06HQV,1,1,2019-07-22,2019-07-22,0.0,1,0,0,0,0.9724324345588684,0.9724324345588684
ZCH06HR8,0,0,,,,0,0,0,1,0.41969984769821167,
ZCH06HSX,0,0,,,,0,0,0,1,0.917861819267273,
ZCH06HTN,0,0,,,,0,0,0,1,0.61624675989151,
ZCH06HXB,0,0,,,,0,0,0,1,0.6486595869064331,
ZCH06HYK,0,0,,,,0,0,0,1,0.6251469850540161,
ZCH06HYQ,0,0,,,,0,0,0,1,0.5473825931549072,
ZCH06HYS,0,0,,,,0,0,0,1,0.6932908296585083,
ZCH06J0D,0,0,,,,0,0,0,1,0.7880550622940063,
ZCH06J1J,0,0,,,,0,0,0,1,0.5885208249092102,
ZCH06J2B,0,0,,,,0,0,0,1,0.8159598112106323,
ZCH06J4Z,0,0,,,,0,0,0,1,0.7323322892189026,
ZCH06J5G,0,0,,,,0,0,0,1,0.532957911491394,
ZCH06J77,1,1,2017-12-08,2017-12-08,0.0,1,0,0,0,0.9749430418014526,0.9749430418014526
ZCH06J7K,0,1,2019-10-19,,,0,1,0,0,0.9821914434432983,0.9742991328239441
ZCH06JWM,0,0,,,,0,0,0,1,0.5700032711029053,
ZCH06K6X,0,0,,,,0,0,0,1,0.6053202748298645,
ZCH06KFF,0,0,,,,0,0,0,1,0.4838288724422455,
ZCH06KFN,0,0,,,,0,0,0,1,0.6063259840011597,
ZCH06KJ9,0,0,,,,0,0,0,1,0.512262225151062,
ZCH06KJR,0,0,,,,0,0,0,1,0.6662982702255249,
ZCH06KK3,0,0,,,,0,0,0,1,0.6222480535507202,
ZCH06KL4,1,1,2018-07-11,2019-06-27,351.0,0,0,1,0,0.9938834309577942,0.9889593124389648
ZCH06KMC,0,0,,,,0,0,0,1,0.5664470195770264,
ZCH06KR2,0,0,,,,0,0,0,1,0.5042285323143005,
ZCH06KRR,0,0,,,,0,0,0,1,0.466902494430542,
ZCH06KRV,0,0,,,,0,0,0,1,0.5282643437385559,
ZCH06KRX,0,0,,,,0,0,0,1,0.5381225347518921,
ZCH06KTK,0,0,,,,0,0,0,1,0.8224288821220398,
ZCH06KVL,0,0,,,,0,0,0,1,0.707537055015564,
ZCH06KY7,0,0,,,,0,0,0,1,0.46171435713768005,
ZCH06KYX,0,0,,,,0,0,0,1,0.5728047490119934,
ZCH06KZX,0,0,,,,0,0,0,1,0.4683578908443451,
ZCH06L0J,0,0,,,,0,0,0,1,0.46168723702430725,
ZCH06L5S,0,0,,,,0,0,0,1,0.6083880662918091,
ZCH06L64,0,1,2019-01-17,,,0,1,0,0,0.9870909452438354,0.9843282699584961
ZCH06L6Q,0,0,,,,0,0,0,1,0.6319574117660522,
ZCH06LA9,0,0,,,,0,0,0,1,0.48725074529647827,
ZCH06LC8,0,0,,,,0,0,0,1,0.6077638268470764,
ZCH06LCT,0,0,,,,0,0,0,1,0.660746693611145,
ZCH06LDJ,0,0,,,,0,0,0,1,0.8465678095817566,
ZCH06LFM,0,0,,,,0,0,0,1,0.5897291302680969,
ZCH06LGF,0,0,,,,0,0,0,1,0.5902432203292847,
ZCH06LH9,0,0,,,,0,0,0,1,0.5585436820983887,
ZCH06LHW,0,0,,,,0,0,0,1,0.6158586144447327,
ZCH06LJ7,0,0,,,,0,0,0,1,0.8197851181030273,
ZCH06LK8,0,0,,,,0,0,0,1,0.6345316767692566,
ZCH06LLW,0,0,,,,0,0,0,1,0.4018231928348541,
ZCH06LMN,0,0,,,,0,0,0,1,0.5436113476753235,
ZCH06LMR,0,0,,,,0,0,0,1,0.5599750280380249,
ZCH06LMY,0,0,,,,0,0,0,1,0.515561044216156,
ZCH06LN7,0,0,,,,0,0,0,1,0.9506365656852722,
ZCH06LP2,0,0,,,,0,0,0,1,0.6434568166732788,
ZCH06LQW,0,0,,,,0,0,0,1,0.5894097089767456,
ZCH06LRT,0,0,,,,0,0,0,1,0.6391969323158264,
ZCH06LT4,0,0,,,,0,0,0,1,0.5598394274711609,
ZCH06LVH,0,0,,,,0,0,0,1,0.6002445816993713,
ZCH06LW8,0,0,,,,0,0,0,1,0.6517063975334167,
ZCH06LWW,0,0,,,,0,0,0,1,0.6769822239875793,
ZCH06LX5,0,0,,,,0,0,0,1,0.5507441759109497,
ZCH06LY0,1,1,2019-06-28,2019-07-19,21.0,1,0,0,0,0.9856899380683899,0.9694594144821167
ZCH06M1B,0,0,,,,0,0,0,1,0.5021911859512329,
ZCH06M1G,0,0,,,,0,0,0,1,0.5765117406845093,
ZCH06M1Q,0,1,2019-09-03,,,0,1,0,0,0.9722853899002075,0.9702228307723999
ZCH06M2Y,0,0,,,,0,0,0,1,0.5588349103927612,
ZCH06M3B,0,0,,,,0,0,0,1,0.5507017374038696,
ZCH06M3K,1,0,,2018-01-28,,0,0,1,0,0.8987128138542175,
ZCH06M3T,0,0,,,,0,0,0,1,0.5206900238990784,
ZCH06M5M,0,0,,,,0,0,0,1,0.6579329371452332,
ZCH06M66,0,0,,,,0,0,0,1,0.6129862070083618,
ZCH06M89,0,0,,,,0,0,0,1,0.4652647078037262,
ZCH06MAZ,0,0,,,,0,0,0,1,0.5049291253089905,
ZCH06MB6,0,0,,,,0,0,0,1,0.6127036213874817,
ZCH06MD1,0,0,,,,0,0,0,1,0.5539595484733582,
ZCH06MEB,0,0,,,,0,0,0,1,0.4996820390224457,
ZCH06MEF,0,0,,,,0,0,0,1,0.6503952741622925,
ZCH06MKM,0,0,,,,0,0,0,1,0.5601487755775452,
ZCH06MLG,0,0,,,,0,0,0,1,0.8512611389160156,
ZCH06MN3,0,0,,,,0,0,0,1,0.638405978679657,
ZCH06MNJ,0,0,,,,0,0,0,1,0.9385226368904114,
ZCH06MPD,0,0,,,,0,0,0,1,0.8523122668266296,
ZCH06MPF,0,0,,,,0,0,0,1,0.614841639995575,
ZCH06MQL,0,0,,,,0,0,0,1,0.46754416823387146,
ZCH06MQT,0,0,,,,0,0,0,1,0.6225751638412476,
ZCH06MRY,0,0,,,,0,0,0,1,0.5041138529777527,
