dataset,model,seed,burden,n_alarmed,n_fail,ear,within_5,recall_5,within_7,recall_7,within_10,recall_10,within_15,recall_15,within_30,recall_30,within_60,recall_60,within_90,recall_90,within_180,recall_180,within_365,recall_365
HGST,LGBM,63,0.01,15,162,0.009657594381035996,0.13333333333333333,0.012345679012345678,0.26666666666666666,0.024691358024691357,0.4,0.037037037037037035,0.4666666666666667,0.043209876543209874,0.4666666666666667,0.043209876543209874,0.6,0.05555555555555555,0.6666666666666666,0.06172839506172839,0.7333333333333333,0.06790123456790123,0.9333333333333333,0.08641975308641975
HGST,LGBM,63,0.05,50,162,0.04916593503072871,0.04,0.012345679012345678,0.04,0.012345679012345678,0.08,0.024691358024691357,0.16,0.04938271604938271,0.24,0.07407407407407407,0.38,0.11728395061728394,0.52,0.16049382716049382,0.64,0.19753086419753085,0.8,0.24691358024691357
HGST,LGBM,64,0.01,18,162,0.009657594381035996,0.05555555555555555,0.006172839506172839,0.1111111111111111,0.012345679012345678,0.2222222222222222,0.024691358024691357,0.2777777777777778,0.030864197530864196,0.3888888888888889,0.043209876543209874,0.4444444444444444,0.04938271604938271,0.5555555555555556,0.06172839506172839,0.7777777777777778,0.08641975308641975,0.8333333333333334,0.09259259259259259
HGST,LGBM,64,0.05,48,162,0.04916593503072871,0.08333333333333333,0.024691358024691357,0.125,0.037037037037037035,0.16666666666666666,0.04938271604938271,0.20833333333333334,0.06172839506172839,0.2916666666666667,0.08641975308641975,0.4166666666666667,0.12345679012345678,0.4583333333333333,0.13580246913580246,0.6458333333333334,0.19135802469135801,0.8333333333333334,0.24691358024691357
HGST,LGBM,65,0.05,47,162,0.04916593503072871,0.1276595744680851,0.037037037037037035,0.14893617021276595,0.043209876543209874,0.23404255319148937,0.06790123456790123,0.2765957446808511,0.08024691358024691,0.425531914893617,0.12345679012345678,0.5106382978723404,0.14814814814814814,0.574468085106383,0.16666666666666666,0.723404255319149,0.20987654320987653,0.8297872340425532,0.24074074074074073
HGST,LGBM,66,0.01,15,162,0.009657594381035996,0.06666666666666667,0.006172839506172839,0.06666666666666667,0.006172839506172839,0.2,0.018518518518518517,0.3333333333333333,0.030864197530864196,0.3333333333333333,0.030864197530864196,0.4666666666666667,0.043209876543209874,0.5333333333333333,0.04938271604938271,0.8666666666666667,0.08024691358024691,1.0,0.09259259259259259
HGST,LGBM,66,0.05,54,162,0.04916593503072871,0.1111111111111111,0.037037037037037035,0.12962962962962962,0.043209876543209874,0.18518518518518517,0.06172839506172839,0.24074074074074073,0.08024691358024691,0.2777777777777778,0.09259259259259259,0.48148148148148145,0.16049382716049382,0.5185185185185185,0.1728395061728395,0.7962962962962963,0.2654320987654321,0.8888888888888888,0.2962962962962963
HGST,LGBM,67,0.01,16,162,0.009657594381035996,0.125,0.012345679012345678,0.125,0.012345679012345678,0.1875,0.018518518518518517,0.375,0.037037037037037035,0.5,0.04938271604938271,0.5625,0.05555555555555555,0.625,0.06172839506172839,0.6875,0.06790123456790123,0.9375,0.09259259259259259
HGST,LGBM,67,0.05,48,162,0.04741000877963126,0.10416666666666667,0.030864197530864196,0.10416666666666667,0.030864197530864196,0.1875,0.05555555555555555,0.20833333333333334,0.06172839506172839,0.2708333333333333,0.08024691358024691,0.4166666666666667,0.12345679012345678,0.4583333333333333,0.13580246913580246,0.6458333333333334,0.19135802469135801,0.7708333333333334,0.22839506172839505
HGST,LGBM,68,0.01,17,162,0.009657594381035996,0.17647058823529413,0.018518518518518517,0.23529411764705882,0.024691358024691357,0.29411764705882354,0.030864197530864196,0.35294117647058826,0.037037037037037035,0.4117647058823529,0.043209876543209874,0.47058823529411764,0.04938271604938271,0.5882352941176471,0.06172839506172839,0.8823529411764706,0.09259259259259259,0.9411764705882353,0.09876543209876543
