dataset,model,seed,window,tau,alarmed,burden,n_cens
HGST,LGBM,58,365,0.10469346875980708,2,0.0020470829068577278,977
HGST,LGBM,58,730,0.10469346875980708,2,0.0020470829068577278,977
HGST,LGBM,58,1095,0.10469346875980708,2,0.0020470829068577278,977
HGST,LGBM,58,1460,0.10469346875980708,5,0.00511770726714432,977
HGST,LGBM,58,-1,0.10469346875980708,27,0.027635619242579325,977
HGST,LGBM,59,180,0.18666663262393554,1,0.0010235414534288639,977
HGST,LGBM,59,365,0.18666663262393554,1,0.0010235414534288639,977
HGST,LGBM,59,730,0.18666663262393554,3,0.0030706243602865915,977
HGST,LGBM,59,1095,0.18666663262393554,4,0.0040941658137154556,977
HGST,LGBM,59,1460,0.18666663262393554,5,0.00511770726714432,977
HGST,LGBM,59,-1,0.18666663262393554,24,0.02456499488229273,977
HGST,LGBM,60,180,0.574918464493633,5,0.00511770726714432,977
HGST,LGBM,60,365,0.574918464493633,8,0.008188331627430911,977
HGST,LGBM,60,730,0.574918464493633,8,0.008188331627430911,977
HGST,LGBM,60,1095,0.574918464493633,8,0.008188331627430911,977
HGST,LGBM,60,1460,0.574918464493633,8,0.008188331627430911,977
HGST,LGBM,60,-1,0.574918464493633,24,0.02456499488229273,977
HGST,LGBM,61,180,0.7667301292869494,6,0.006141248720573183,977
HGST,LGBM,61,365,0.7667301292869494,8,0.008188331627430911,977
HGST,LGBM,61,730,0.7667301292869494,9,0.009211873080859774,977
HGST,LGBM,61,1095,0.7667301292869494,9,0.009211873080859774,977
HGST,LGBM,61,1460,0.7667301292869494,9,0.009211873080859774,977
HGST,LGBM,61,-1,0.7667301292869494,24,0.02456499488229273,977
HGST,LGBM,62,180,0.8366107689628233,0,0.0,977
HGST,LGBM,62,365,0.8366107689628233,1,0.0010235414534288639,977
HGST,LGBM,62,730,0.8366107689628233,1,0.0010235414534288639,977
HGST,LGBM,62,1095,0.8366107689628233,1,0.0010235414534288639,977
HGST,LGBM,62,1460,0.8366107689628233,2,0.0020470829068577278,977
HGST,LGBM,62,-1,0.8366107689628233,24,0.02456499488229273,977
HGST,LGBM,63,180,0.25829876010545394,0,0.0,977
HGST,LGBM,63,365,0.25829876010545394,1,0.0010235414534288639,977
HGST,LGBM,63,730,0.25829876010545394,1,0.0010235414534288639,977
HGST,LGBM,63,1095,0.25829876010545394,1,0.0010235414534288639,977
HGST,LGBM,63,1460,0.25829876010545394,2,0.0020470829068577278,977
HGST,LGBM,63,-1,0.25829876010545394,24,0.02456499488229273,977
HGST,LGBM,64,180,0.48085869476500703,4,0.0040941658137154556,977
HGST,LGBM,64,365,0.48085869476500703,5,0.00511770726714432,977
HGST,LGBM,64,730,0.48085869476500703,6,0.006141248720573183,977
HGST,LGBM,64,1095,0.48085869476500703,7,0.007164790174002047,977
HGST,LGBM,64,1460,0.48085869476500703,9,0.009211873080859774,977
HGST,LGBM,64,-1,0.48085869476500703,26,0.02661207778915046,977
HGST,LGBM,65,180,0.8777870940758672,4,0.0040941658137154556,977
HGST,LGBM,65,365,0.8777870940758672,7,0.007164790174002047,977
HGST,LGBM,65,730,0.8777870940758672,13,0.01330603889457523,977
HGST,LGBM,65,1095,0.8777870940758672,13,0.01330603889457523,977
HGST,LGBM,65,1460,0.8777870940758672,13,0.01330603889457523,977
HGST,LGBM,65,-1,0.8777870940758672,24,0.02456499488229273,977
HGST,LGBM,66,180,0.37555087396506226,6,0.006141248720573183,977
HGST,LGBM,66,365,0.37555087396506226,7,0.007164790174002047,977
HGST,LGBM,66,730,0.37555087396506226,8,0.008188331627430911,977
HGST,LGBM,66,1095,0.37555087396506226,8,0.008188331627430911,977
HGST,LGBM,66,1460,0.37555087396506226,10,0.01023541453428864,977
HGST,LGBM,66,-1,0.37555087396506226,24,0.02456499488229273,977
HGST,LGBM,67,180,0.7476573281391877,3,0.0030706243602865915,977
HGST,LGBM,67,365,0.7476573281391877,5,0.00511770726714432,977
HGST,LGBM,67,730,0.7476573281391877,9,0.009211873080859774,977
HGST,LGBM,67,1095,0.7476573281391877,9,0.009211873080859774,977
HGST,LGBM,67,1460,0.7476573281391877,10,0.01023541453428864,977
