dataset,model,seed,split,threshold_kind,threshold,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm,N_failed,N_censored,N_alarmed,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time
HGST_20HUH721212ALN604,GRU,43,val,row_opt,0.04,19,106,35,77,898,160,975,202,0.094059,0.11875,0.104972,0.078974,0.152,288.04,217.0,264.93
HGST_20HUH721212ALN604,GRU,43,val,disk_opt,0.316,19,24,117,9,966,160,975,52,0.365385,0.11875,0.179245,0.009231,0.44186,93.51,48.0,139.02
HGST_20HUH721212ALN604,GRU,43,test,row_opt,0.04,11,110,41,92,885,162,977,213,0.051643,0.067901,0.058667,0.094166,0.090909,318.67,241.0,308.88
HGST_20HUH721212ALN604,GRU,43,test,disk_opt,0.316,22,23,117,12,965,162,977,57,0.385965,0.135802,0.200913,0.012282,0.488889,140.09,32.0,239.95
HGST_20HUH721212ALN604,GRU,44,val,row_opt,0.037,19,94,47,56,919,160,975,169,0.112426,0.11875,0.115502,0.057436,0.168142,257.73,188.0,258.93
HGST_20HUH721212ALN604,GRU,44,val,disk_opt,0.167,15,40,105,9,966,160,975,64,0.234375,0.09375,0.133929,0.009231,0.272727,141.91,80.0,167.35
HGST_20HUH721212ALN604,GRU,44,test,row_opt,0.037,9,95,58,56,921,162,977,160,0.05625,0.055556,0.055901,0.057318,0.086538,311.33,219.0,311.22
HGST_20HUH721212ALN604,GRU,44,test,disk_opt,0.167,18,37,107,16,961,162,977,71,0.253521,0.111111,0.154506,0.016377,0.327273,156.45,80.0,226.7
HGST_20HUH721212ALN604,GRU,45,val,row_opt,0.041,22,100,38,65,910,160,975,187,0.117647,0.1375,0.126801,0.066667,0.180328,277.51,203.5,288.31
HGST_20HUH721212ALN604,GRU,45,val,disk_opt,0.169,21,47,92,9,966,160,975,77,0.272727,0.13125,0.177215,0.009231,0.308824,136.44,80.5,162.09
HGST_20HUH721212ALN604,GRU,45,test,row_opt,0.041,9,105,48,80,897,162,977,194,0.046392,0.055556,0.050562,0.081883,0.078947,312.14,219.5,300.74
HGST_20HUH721212ALN604,GRU,45,test,disk_opt,0.169,22,48,92,24,953,162,977,94,0.234043,0.135802,0.171875,0.024565,0.314286,159.71,71.0,226.62
