dataset,model,seed,split,threshold_kind,threshold,precision,recall,f1,far,auroc,tp,fp,fn,tn
HGST_20HUH721212ALN604,GRU,43,val,disk_opt,0.316,0.257028,0.080419,0.122508,0.000417,0.922729,384,1110,4391,2661129
HGST_20HUH721212ALN604,GRU,43,test,row_opt,0.04,0.076254,0.487779,0.13189,0.010554,0.916618,2315,28044,2431,2629081
HGST_20HUH721212ALN604,GRU,43,test,disk_opt,0.316,0.289103,0.095027,0.143038,0.000417,0.916618,451,1109,4295,2656016
HGST_20HUH721212ALN604,GRU,44,val,row_opt,0.037,0.086692,0.524817,0.148804,0.009917,0.930118,2506,26401,2269,2635838
HGST_20HUH721212ALN604,GRU,44,val,disk_opt,0.167,0.22196,0.118115,0.154183,0.000743,0.930118,564,1977,4211,2660262
HGST_20HUH721212ALN604,GRU,44,test,row_opt,0.037,0.0697,0.447324,0.120608,0.010664,0.918881,2123,28336,2623,2628789
HGST_20HUH721212ALN604,GRU,44,test,disk_opt,0.167,0.192362,0.114623,0.143649,0.00086,0.918881,544,2284,4202,2654841
HGST_20HUH721212ALN604,GRU,45,val,row_opt,0.041,0.078453,0.467644,0.134364,0.009853,0.92727,2233,26230,2542,2636009
HGST_20HUH721212ALN604,GRU,45,val,disk_opt,0.169,0.231625,0.143874,0.177496,0.000856,0.92727,687,2279,4088,2659960
HGST_20HUH721212ALN604,GRU,45,test,row_opt,0.041,0.070547,0.470712,0.122703,0.011077,0.912873,2234,29433,2512,2627692
HGST_20HUH721212ALN604,GRU,45,test,disk_opt,0.169,0.189941,0.142436,0.162793,0.001085,0.912873,676,2883,4070,2654242
HGST_20HUH721212ALN604,GRU,46,val,row_opt,0.035,0.080184,0.479372,0.137387,0.009863,0.926398,2289,26258,2486,2635981
HGST_20HUH721212ALN604,GRU,46,val,disk_opt,0.154,0.225524,0.108063,0.146114,0.000666,0.926398,516,1772,4259,2660467
HGST_20HUH721212ALN604,GRU,46,test,row_opt,0.035,0.071768,0.439107,0.123372,0.010144,0.919965,2084,26954,2662,2630171
HGST_20HUH721212ALN604,GRU,46,test,disk_opt,0.154,0.185979,0.10788,0.136552,0.000843,0.919965,512,2241,4234,2654884
HGST_20HUH721212ALN604,GRU,47,val,row_opt,0.032,0.084154,0.495497,0.143874,0.009672,0.924672,2366,25749,2409,2636490
HGST_20HUH721212ALN604,GRU,47,val,disk_opt,0.2,0.256915,0.114764,0.158657,0.000595,0.924672,548,1585,4227,2660654
HGST_20HUH721212ALN604,GRU,47,test,row_opt,0.032,0.068472,0.452802,0.118956,0.011003,0.91224,2149,29236,2597,2627889
HGST_20HUH721212ALN604,GRU,47,test,disk_opt,0.2,0.220214,0.112937,0.149304,0.000714,0.91224,536,1898,4210,2655227
HGST_20HUH721212ALN604,GRU,48,val,row_opt,0.039,0.085491,0.52,0.146841,0.009977,0.920425,2483,26561,2292,2635678
HGST_20HUH721212ALN604,GRU,48,val,disk_opt,0.122,0.218381,0.162723,0.186487,0.001045,0.920425,777,2781,3998,2659458
HGST_20HUH721212ALN604,GRU,48,test,row_opt,0.039,0.07222,0.468394,0.125144,0.010748,0.921028,2223,28558,2523,2628567
HGST_20HUH721212ALN604,GRU,48,test,disk_opt,0.122,0.165598,0.152339,0.158692,0.001371,0.921028,723,3643,4023,2653482
HGST_20HUH721212ALN604,GRU,49,val,row_opt,0.038,0.078377,0.469738,0.13434,0.009907,0.923377,2243,26375,2532,2635864
HGST_20HUH721212ALN604,GRU,49,val,disk_opt,0.214,0.268489,0.069948,0.110982,0.000342,0.923377,334,910,4441,2661329
HGST_20HUH721212ALN604,GRU,49,test,row_opt,0.038,0.072935,0.448799,0.125479,0.010189,0.916189,2130,27074,2616,2630051
HGST_20HUH721212ALN604,GRU,49,test,disk_opt,0.214,0.281664,0.094185,0.141165,0.000429,0.916189,447,1140,4299,2655985
HGST_20HUH721212ALN604,GRU,50,val,row_opt,0.043,0.085612,0.503665,0.146347,0.009649,0.927681,2405,25687,2370,2636552
HGST_20HUH721212ALN604,GRU,50,val,disk_opt,0.283,0.290663,0.080838,0.126495,0.000354,0.927681,386,942,4389,2661297
HGST_20HUH721212ALN604,GRU,50,test,row_opt,0.043,0.074113,0.477876,0.128324,0.010663,0.919377,2268,28334,2478,2628791
