experiment,drive,model,family,rule,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
zoo_3month,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,0.01,1,47,29247,0.5106382978723404,0.0,0.07547169811320754,0.0,0.010052313057749512,0.0,0.942845339936012,0.0,0.17605522704237334,0.0,24.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,0.02,1,47,29247,0.6595744680851063,0.0,0.050243111831442464,0.0,0.020036243033473518,0.0,0.942845339936012,0.0,0.17605522704237334,0.0,31.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,0.04,1,47,29247,0.7446808510638298,0.0,0.02902155887230514,0.0,0.040038294525934284,0.0,0.942845339936012,0.0,0.17605522704237334,0.0,35.0,0.0
zoo_3month,HGST_20HUH721212ALN604,bigru,sequence,in_horizon,0.005,1,47,29247,0.3191489361702128,0.0,0.09259259259259259,0.0,0.005026156528874756,0.0,0.9439797139561538,0.0,0.10670015304853563,0.0,15.0,0.0
zoo_3month,HGST_20HUH721212ALN604,bigru,sequence,in_horizon,0.01,1,47,29247,0.5106382978723404,0.0,0.07547169811320754,0.0,0.010052313057749512,0.0,0.9439797139561538,0.0,0.10670015304853563,0.0,24.0,0.0
zoo_3month,HGST_20HUH721212ALN604,bigru,sequence,in_horizon,0.02,1,47,29247,0.723404255319149,0.0,0.054838709677419356,0.0,0.020036243033473518,0.0,0.9439797139561538,0.0,0.10670015304853563,0.0,34.0,0.0
zoo_3month,HGST_20HUH721212ALN604,bigru,sequence,in_horizon,0.04,1,47,29247,0.8085106382978723,0.0,0.03143093465674111,0.0,0.040038294525934284,0.0,0.9439797139561538,0.0,0.10670015304853563,0.0,38.0,0.0
zoo_3month,HGST_20HUH721212ALN604,bilstm,sequence,in_horizon,0.005,1,47,29247,0.425531914893617,0.0,0.11976047904191617,0.0,0.005026156528874756,0.0,0.9462667123825649,0.0,0.15481822729387254,0.0,20.0,0.0
zoo_3month,HGST_20HUH721212ALN604,bilstm,sequence,in_horizon,0.01,1,47,29247,0.5531914893617021,0.0,0.08125,0.0,0.010052313057749512,0.0,0.9462667123825649,0.0,0.15481822729387254,0.0,26.0,0.0
zoo_3month,HGST_20HUH721212ALN604,bilstm,sequence,in_horizon,0.02,1,47,29247,0.6595744680851063,0.0,0.050243111831442464,0.0,0.020036243033473518,0.0,0.9462667123825649,0.0,0.15481822729387254,0.0,31.0,0.0
zoo_3month,HGST_20HUH721212ALN604,bilstm,sequence,in_horizon,0.04,1,47,29247,0.7659574468085106,0.0,0.029826014913007456,0.0,0.040038294525934284,0.0,0.9462667123825649,0.0,0.15481822729387254,0.0,36.0,0.0
zoo_3month,HGST_20HUH721212ALN604,attnrnn,sequence,in_horizon,0.005,1,47,29247,0.2765957446808511,0.0,0.08125,0.0,0.005026156528874756,0.0,0.9423630739994039,0.0,0.09041367319913814,0.0,13.0,0.0
zoo_3month,HGST_20HUH721212ALN604,attnrnn,sequence,in_horizon,0.01,1,47,29247,0.44680851063829785,0.0,0.06666666666666667,0.0,0.010052313057749512,0.0,0.9423630739994039,0.0,0.09041367319913814,0.0,21.0,0.0
zoo_3month,HGST_20HUH721212ALN604,attnrnn,sequence,in_horizon,0.02,1,47,29247,0.5957446808510638,0.0,0.04560260586319218,0.0,0.020036243033473518,0.0,0.9423630739994039,0.0,0.09041367319913814,0.0,28.0,0.0
zoo_3month,HGST_20HUH721212ALN604,attnrnn,sequence,in_horizon,0.04,1,47,29247,0.7659574468085106,0.0,0.029826014913007456,0.0,0.040038294525934284,0.0,0.9423630739994039,0.0,0.09041367319913814,0.0,36.0,0.0
zoo_3month,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,0.005,1,47,29247,0.425531914893617,0.0,0.11976047904191617,0.0,0.005026156528874756,0.0,0.9578786610967165,0.0,0.14850026064451083,0.0,20.0,0.0
zoo_3month,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,0.01,1,47,29247,0.574468085106383,0.0,0.08411214953271028,0.0,0.010052313057749512,0.0,0.9578786610967165,0.0,0.14850026064451083,0.0,27.0,0.0
zoo_3month,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,0.02,1,47,29247,0.7021276595744681,0.0,0.05331179321486268,0.0,0.020036243033473518,0.0,0.9578786610967165,0.0,0.14850026064451083,0.0,33.0,0.0
zoo_3month,HGST_20HUH721212ALN604,cnn1d,sequence,in_horizon,0.04,1,47,29247,0.8297872340425532,0.0,0.032231404958677684,0.0,0.040038294525934284,0.0,0.9578786610967165,0.0,0.14850026064451083,0.0,39.0,0.0
zoo_3month,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,0.005,1,47,29247,0.3829787234042553,0.0,0.10909090909090909,0.0,0.005026156528874756,0.0,0.9587831081125714,0.0,0.165050304423734,0.0,18.0,0.0
zoo_3month,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,0.01,1,47,29247,0.5106382978723404,0.0,0.07547169811320754,0.0,0.010052313057749512,0.0,0.9587831081125714,0.0,0.165050304423734,0.0,24.0,0.0
zoo_3month,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,0.02,1,47,29247,0.6808510638297872,0.0,0.05177993527508091,0.0,0.020036243033473518,0.0,0.9587831081125714,0.0,0.165050304423734,0.0,32.0,0.0
zoo_3month,HGST_20HUH721212ALN604,tcn,sequence,in_horizon,0.04,1,47,29247,0.8085106382978723,0.0,0.03143093465674111,0.0,0.040038294525934284,0.0,0.9587831081125714,0.0,0.165050304423734,0.0,38.0,0.0
zoo_3month,HGST_20HUH721212ALN604,fcn,sequence,in_horizon,0.005,1,47,29247,0.3404255319148936,0.0,0.09815950920245399,0.0,0.005026156528874756,0.0,0.935641690103111,0.0,0.0923754891248924,0.0,16.0,0.0
zoo_3month,HGST_20HUH721212ALN604,fcn,sequence,in_horizon,0.01,1,47,29247,0.5106382978723404,0.0,0.07547169811320754,0.0,0.010052313057749512,0.0,0.935641690103111,0.0,0.0923754891248924,0.0,24.0,0.0
zoo_3month,HGST_20HUH721212ALN604,fcn,sequence,in_horizon,0.02,1,47,29247,0.6595744680851063,0.0,0.050243111831442464,0.0,0.020036243033473518,0.0,0.935641690103111,0.0,0.0923754891248924,0.0,31.0,0.0
zoo_3month,HGST_20HUH721212ALN604,fcn,sequence,in_horizon,0.04,1,47,29247,0.8085106382978723,0.0,0.03143093465674111,0.0,0.040038294525934284,0.0,0.935641690103111,0.0,0.0923754891248924,0.0,38.0,0.0
zoo_3month,HGST_20HUH721212ALN604,resnet1d,sequence,in_horizon,0.005,1,47,29247,0.2978723404255319,0.0,0.08695652173913043,0.0,0.005026156528874756,0.0,0.9229965413099929,0.0,0.08644228403290595,0.0,14.0,0.0
zoo_3month,HGST_20HUH721212ALN604,resnet1d,sequence,in_horizon,0.01,1,47,29247,0.48936170212765956,0.0,0.07255520504731862,0.0,0.010052313057749512,0.0,0.9229965413099929,0.0,0.08644228403290595,0.0,23.0,0.0
zoo_3month,HGST_20HUH721212ALN604,resnet1d,sequence,in_horizon,0.02,1,47,29247,0.6170212765957447,0.0,0.04715447154471545,0.0,0.020036243033473518,0.0,0.9229965413099929,0.0,0.08644228403290595,0.0,29.0,0.0
zoo_3month,HGST_20HUH721212ALN604,resnet1d,sequence,in_horizon,0.04,1,47,29247,0.7446808510638298,0.0,0.02902155887230514,0.0,0.040038294525934284,0.0,0.9229965413099929,0.0,0.08644228403290595,0.0,35.0,0.0
