experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,far_target,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.02,17,9741,10,7,195,9546,0.5882352941176471,0.04878048780487805,0.02001847859562673,0.9576079276798493,0.17420948247206805
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.04,17,9741,14,3,390,9351,0.8235294117647058,0.034653465346534656,0.04003695719125346,0.9576079276798493,0.17420948247206805
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.005,14,9724,1,13,49,9675,0.07142857142857142,0.02,0.005039078568490334,0.9726376564611858,0.05638343087200857
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.01,14,9724,6,8,98,9626,0.42857142857142855,0.057692307692307696,0.010078157136980667,0.9726376564611858,0.05638343087200857
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.02,14,9724,11,3,195,9529,0.7857142857142857,0.05339805825242718,0.020053475935828877,0.9726376564611858,0.05638343087200857
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.04,14,9724,11,3,389,9335,0.7857142857142857,0.0275,0.0400041135335253,0.9726376564611858,0.05638343087200857
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.005,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.9396468002453486,0.2526513704936525
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.01,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9396468002453486,0.2526513704936525
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.02,16,9782,12,4,196,9586,0.75,0.057692307692307696,0.02003680228992026,0.9396468002453486,0.2526513704936525
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.04,16,9782,13,3,392,9390,0.8125,0.03209876543209877,0.04007360457984052,0.9396468002453486,0.2526513704936525
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.005,17,9741,7,10,49,9692,0.4117647058823529,0.125,0.005030284365054922,0.961312704940307,0.1758857552774325
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.01,17,9741,8,9,98,9643,0.47058823529411764,0.07547169811320754,0.010060568730109845,0.961312704940307,0.1758857552774325
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.02,17,9741,9,8,195,9546,0.5294117647058824,0.04411764705882353,0.02001847859562673,0.961312704940307,0.1758857552774325
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.04,17,9741,13,4,390,9351,0.7647058823529411,0.03225806451612903,0.04003695719125346,0.961312704940307,0.1758857552774325
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.005,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.9748046071575484,0.0571596190384569
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.01,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.9748046071575484,0.0571596190384569
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.02,14,9724,11,3,195,9529,0.7857142857142857,0.05339805825242718,0.020053475935828877,0.9748046071575484,0.0571596190384569
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,44,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.04,14,9724,11,3,389,9335,0.7857142857142857,0.0275,0.0400041135335253,0.9748046071575484,0.0571596190384569
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.005,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.9685519321202208,0.18181546381661218
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.01,16,9782,10,6,98,9684,0.625,0.09259259259259259,0.01001840114496013,0.9685519321202208,0.18181546381661218
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.02,16,9782,11,5,196,9586,0.6875,0.05314009661835749,0.02003680228992026,0.9685519321202208,0.18181546381661218
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.04,16,9782,15,1,392,9390,0.9375,0.036855036855036855,0.04007360457984052,0.9685519321202208,0.18181546381661218
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.005,17,9741,9,8,49,9692,0.5294117647058824,0.15517241379310345,0.005030284365054922,0.9762012596846561,0.152396186453535
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.01,17,9741,10,7,98,9643,0.5882352941176471,0.09259259259259259,0.010060568730109845,0.9762012596846561,0.152396186453535
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.02,17,9741,11,6,195,9546,0.6470588235294118,0.05339805825242718,0.02001847859562673,0.9762012596846561,0.152396186453535
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.04,17,9741,14,3,390,9351,0.8235294117647058,0.034653465346534656,0.04003695719125346,0.9762012596846561,0.152396186453535
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.005,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.9727111124169948,0.06415357990066785
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.01,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.9727111124169948,0.06415357990066785
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,45,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.02,14,9724,11,3,195,9529,0.7857142857142857,0.05339805825242718,0.020053475935828877,0.9727111124169948,0.06415357990066785
