serial_number,hdd,model,threshold,has_failed,total_obs_days,total_alarm_count,alarm_ratio
2AGPTVLY,HGST_20HUH721212ALN604,LGBM,0.993,0,2466,0,0.0
5PG0TA6F,HGST_20HUH721212ALN604,LGBM,0.993,0,2050,0,0.0
5PG0TAKF,HGST_20HUH721212ALN604,LGBM,0.993,0,2122,0,0.0
5PJEJUHE,HGST_20HUH721212ALN604,LGBM,0.993,0,1525,0,0.0
5PJJHD9C,HGST_20HUH721212ALN604,LGBM,0.993,0,1323,0,0.0
5PJJLZTF,HGST_20HUH721212ALN604,LGBM,0.993,0,1550,0,0.0
5PJKZP4D,HGST_20HUH721212ALN604,LGBM,0.993,0,1306,0,0.0
5PJVPJGF,HGST_20HUH721212ALN604,LGBM,0.993,0,1751,0,0.0
5PK10N4B,HGST_20HUH721212ALN604,LGBM,0.993,0,435,0,0.0
5PK5ZB1B,HGST_20HUH721212ALN604,LGBM,0.993,0,672,0,0.0
5PKEBJVB,HGST_20HUH721212ALN604,LGBM,0.993,0,826,0,0.0
5PKVXW6B,HGST_20HUH721212ALN604,LGBM,0.993,0,639,0,0.0
5QG63PMB,HGST_20HUH721212ALN604,LGBM,0.993,0,643,0,0.0
5QGBH0MB,HGST_20HUH721212ALN604,LGBM,0.993,0,814,0,0.0
5QGG5KLB,HGST_20HUH721212ALN604,LGBM,0.993,0,1062,0,0.0
5QGG5UPB,HGST_20HUH721212ALN604,LGBM,0.993,0,1178,0,0.0
5QGGAELB,HGST_20HUH721212ALN604,LGBM,0.993,1,800,0,0.0
5QGGHWVB,HGST_20HUH721212ALN604,LGBM,0.993,0,807,0,0.0
5QH0Z60B,HGST_20HUH721212ALN604,LGBM,0.993,1,206,0,0.0
5QHDKVHB,HGST_20HUH721212ALN604,LGBM,0.993,0,836,0,0.0
5QHKE66B,HGST_20HUH721212ALN604,LGBM,0.993,0,683,0,0.0
5QHYP4MB,HGST_20HUH721212ALN604,LGBM,0.993,0,656,0,0.0
5QJBW5VB,HGST_20HUH721212ALN604,LGBM,0.993,1,109,0,0.0
5QJS57NB,HGST_20HUH721212ALN604,LGBM,0.993,0,769,0,0.0
5QKBEVWB,HGST_20HUH721212ALN604,LGBM,0.993,0,809,0,0.0
5QKDK07B,HGST_20HUH721212ALN604,LGBM,0.993,0,437,0,0.0
5QKHBVPB,HGST_20HUH721212ALN604,LGBM,0.993,0,641,0,0.0
5QKKSM3B,HGST_20HUH721212ALN604,LGBM,0.993,0,695,0,0.0
5QKV55TB,HGST_20HUH721212ALN604,LGBM,0.993,0,732,0,0.0
5QKV6W0B,HGST_20HUH721212ALN604,LGBM,0.993,0,931,0,0.0
5QKV74SB,HGST_20HUH721212ALN604,LGBM,0.993,0,783,0,0.0
5QKV778B,HGST_20HUH721212ALN604,LGBM,0.993,0,633,0,0.0
5QKV7UHB,HGST_20HUH721212ALN604,LGBM,0.993,0,728,0,0.0
5QKV85UB,HGST_20HUH721212ALN604,LGBM,0.993,0,821,0,0.0
5QKVAN8B,HGST_20HUH721212ALN604,LGBM,0.993,0,799,0,0.0
5QKVARLB,HGST_20HUH721212ALN604,LGBM,0.993,0,850,0,0.0
5QKVATKB,HGST_20HUH721212ALN604,LGBM,0.993,0,783,0,0.0
5QKVD71B,HGST_20HUH721212ALN604,LGBM,0.993,0,661,0,0.0
5QKVDDVB,HGST_20HUH721212ALN604,LGBM,0.993,0,621,0,0.0
5QKVETTB,HGST_20HUH721212ALN604,LGBM,0.993,0,613,0,0.0
5QKVEUZB,HGST_20HUH721212ALN604,LGBM,0.993,0,679,0,0.0
5QKVEXJB,HGST_20HUH721212ALN604,LGBM,0.993,0,823,0,0.0
5QKVGLWB,HGST_20HUH721212ALN604,LGBM,0.993,0,663,0,0.0
5QKVHPLB,HGST_20HUH721212ALN604,LGBM,0.993,0,664,0,0.0
5QKVHRMB,HGST_20HUH721212ALN604,LGBM,0.993,0,617,0,0.0
5QKVVTHB,HGST_20HUH721212ALN604,LGBM,0.993,0,686,0,0.0
8CGNK9GE,HGST_20HUH721212ALN604,LGBM,0.993,0,2382,0,0.0
8CGR1V5E,HGST_20HUH721212ALN604,LGBM,0.993,0,2466,0,0.0
8CGSN9XE,HGST_20HUH721212ALN604,LGBM,0.993,0,2482,0,0.0
8CGSTSRE,HGST_20HUH721212ALN604,LGBM,0.993,0,2494,0,0.0
8CGT5S2E,HGST_20HUH721212ALN604,LGBM,0.993,1,1985,0,0.0
8CGTW4VE,HGST_20HUH721212ALN604,LGBM,0.993,0,2466,0,0.0
