serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AGMLSZY,1,1,2020-07-19,2020-07-30,11.0,On time,1,0,0,0,0,0,0.6177578568458557,0.12846902012825012,2019-05-16,430.0,0.121
2AGMLT7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.015899093821644783,,2019-05-16,,0.121
2AGMLWNY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.03143220767378807,,2019-08-14,,0.121
2AGMLZLY,1,0,,2026-02-11,,Missed,0,0,0,0,1,0,0.05481918528676033,,2019-05-16,,0.121
2AGMM0UY,0,1,2020-01-23,,,Censored Early,0,0,1,1,0,0,0.12386314570903778,0.12386314570903778,2019-05-16,252.0,0.121
2AGMMNKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010732721537351608,,2019-06-01,,0.121
2AGMMU1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001028761500492692,,2019-05-16,,0.121
2AGMMU4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013428361853584647,,2019-08-14,,0.121
2AGMNB7Y,1,0,,2023-03-30,,Missed,0,0,0,0,1,0,0.08652673661708832,,2019-05-16,,0.121
2AGMNBEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001089415978640318,,2019-05-16,,0.121
2AGMND4Y,1,1,2025-10-11,2025-10-27,16.0,On time,1,0,0,0,0,0,0.6124818921089172,0.14350830018520355,2019-05-04,2352.0,0.121
2AGMNE1Y,1,1,2025-07-01,2025-11-26,148.0,Early,0,1,0,1,0,0,0.6113945245742798,0.14257292449474335,2019-05-16,2238.0,0.121
2AGMNEBY,1,1,2023-02-22,2024-08-05,530.0,Early,0,1,0,1,0,0,0.22085843980312347,0.1989917755126953,2019-05-04,1390.0,0.121
2AGMNG0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.08470000326633453,,2019-05-16,,0.121
2AGMNJKY,1,1,2024-03-24,2025-09-29,554.0,Early,0,1,0,1,0,0,0.35173019766807556,0.12207455933094025,2019-05-16,1774.0,0.121
2AGMNM8Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.037208788096904755,,2019-08-14,,0.121
2AGMNMWY,1,0,,2023-05-10,,Missed,0,0,0,0,1,0,0.03426356241106987,,2019-05-16,,0.121
2AGMNTXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008961158455349505,,2019-05-16,,0.121
2AGMNUVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010830526007339358,,2019-05-04,,0.121
2AGMNWBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000956701347604394,,2019-08-13,,0.121
2AGMNXRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.05131128057837486,,2019-08-13,,0.121
2AGMP7ZY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012576730223372579,,2019-08-14,,0.121
2AGMPBWY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.029364904388785362,,2019-05-16,,0.121
2AGMPD8Y,1,0,,2023-11-21,,Missed,0,0,0,0,1,0,0.0003953582199756056,,2019-08-13,,0.121
2AGMPK3Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.01595880091190338,,2019-05-04,,0.121
2AGMPL7Y,1,0,,2025-02-27,,Missed,0,0,0,0,1,0,0.10446067899465561,,2019-05-16,,0.121
2AGMPP1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005270842928439379,,2019-05-16,,0.121
2AGMPP4Y,1,1,2025-08-31,2025-09-23,23.0,On time,1,0,0,0,0,0,0.18703526258468628,0.12323048710823059,2019-05-16,2299.0,0.121
2AGMPPGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009661373333074152,,2019-05-16,,0.121
2AGMPSSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011279531754553318,,2019-05-16,,0.121
2AGMPT2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009217383340001106,,2019-05-16,,0.121
2AGMPZ8Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010450995760038495,,2019-08-14,,0.121
2AGMS6PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004490377614274621,,2019-08-14,,0.121
2AGMSHHY,1,0,,2022-08-12,,Missed,0,0,0,0,1,0,0.00010247403406538069,,2019-05-04,,0.121
2AGMTK0Y,1,1,2025-08-30,2025-08-30,0.0,On time,1,0,0,0,0,0,0.19519352912902832,0.19519352912902832,2019-05-16,2298.0,0.121
2AGMTL0Y,1,0,,2023-04-17,,Missed,0,0,0,0,1,0,0.000701527635101229,,2019-05-04,,0.121
2AGMTXAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009705569827929139,,2019-08-13,,0.121
2AGMUBMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010931158903986216,,2019-06-01,,0.121
