ds,model,seed,budget,crit,thr,row_rec,row_far,OT,E,M,CE,CN,recall,precision,far,mlt
HGST,LGBM,60,0.02,row,0.014000000000000002,0.5676359039190898,0.020128898715717176,19,116,27,130,847,0.11728395061728394,0.07169811320754717,0.1330603889457523,241.0
HGST,LGBM,60,0.02,op,0.484,0.08343868520859671,0.0008475325775038811,21,37,104,28,949,0.12962962962962962,0.2441860465116279,0.028659160696008188,76.0
HGST,LGBM,60,0.05,row,0.006,0.7673830594184576,0.04947377334525098,15,135,12,180,797,0.09259259259259259,0.045454545454545456,0.1842374616171955,393.5
HGST,LGBM,60,0.05,op,0.056,0.2193426042983565,0.003080773392294303,17,76,69,56,921,0.10493827160493827,0.11409395973154363,0.057318321392016376,155.0
HGST,LGBM,61,0.001,row,0.211,0.10408765276021913,0.001096297690172649,15,53,94,41,936,0.09259259259259259,0.13761467889908258,0.04196519959058342,120.0
HGST,LGBM,61,0.005,row,0.042,0.3162663295406658,0.004726913487321824,18,85,59,61,916,0.1111111111111111,0.10975609756097561,0.062436028659160696,143.0
HGST,LGBM,61,0.01,row,0.025,0.4416350611040877,0.009887754622006868,12,102,48,76,901,0.07407407407407407,0.06315789473684211,0.07778915046059365,225.5
HGST,LGBM,61,0.02,row,0.012,0.5391908975979772,0.019381850684480405,13,116,33,107,870,0.08024691358024691,0.05508474576271186,0.10951893551688843,265.0
HGST,LGBM,61,0.02,op,0.708,0.05646860514117151,0.0003150021169497107,20,29,113,26,951,0.12345679012345678,0.26666666666666666,0.02661207778915046,51.0
HGST,LGBM,61,0.05,row,0.005,0.7671723556679308,0.047941666274638944,11,133,18,153,824,0.06790123456790123,0.037037037037037035,0.15660184237461616,353.0
HGST,LGBM,61,0.05,op,0.062,0.19258322798145808,0.0021530789857458718,18,66,78,50,927,0.1111111111111111,0.13432835820895522,0.0511770726714432,124.0
HGST,LGBM,62,0.001,row,0.023,0.11483354403708386,0.0011821047184456886,11,50,101,31,946,0.06790123456790123,0.11956521739130435,0.03172978505629478,141.0
HGST,LGBM,62,0.005,row,0.008,0.23430257058575643,0.0036219598249988237,22,62,78,49,928,0.13580246913580246,0.16541353383458646,0.05015353121801433,134.0
HGST,LGBM,62,0.01,row,0.006,0.3906447534766119,0.008434680340593687,14,94,54,61,916,0.08641975308641975,0.08284023668639054,0.062436028659160696,216.0
HGST,LGBM,62,0.02,row,0.003,0.544669195111673,0.018876417180222985,13,105,44,92,885,0.08024691358024691,0.06190476190476191,0.09416581371545547,244.0
HGST,LGBM,62,0.02,op,0.252,0.07880320269700801,0.0005953803452980195,11,45,106,24,953,0.06790123456790123,0.1375,0.02456499488229273,99.0
