ds,model,seed,budget,crit,thr,row_rec,row_far,OT,E,M,CE,CN,recall,precision,far,mlt
HGST,LGBM,55,0.005,op,0.995,0.03560893383902233,0.00033720656724843583,13,19,130,12,965,0.08024691358024691,0.29545454545454547,0.012282497441146366,44.5
HGST,LGBM,55,0.01,row,0.024,0.4696586599241466,0.010747330291198193,18,98,46,97,880,0.1111111111111111,0.08450704225352113,0.0992835209825998,242.5
HGST,LGBM,55,0.01,op,0.887,0.038348082595870206,0.0003740885355412335,13,21,128,13,964,0.08024691358024691,0.2765957446808511,0.01330603889457523,60.5
HGST,LGBM,55,0.02,row,0.014000000000000002,0.5794353139485883,0.01951394834642706,14,116,32,112,865,0.08641975308641975,0.05785123966942149,0.11463664278403275,279.5
HGST,LGBM,55,0.02,op,0.7020000000000001,0.039190897597977246,0.0005163475560991674,14,24,124,21,956,0.08641975308641975,0.23728813559322035,0.021494370522006142,71.0
HGST,LGBM,55,0.05,row,0.005,0.7979351032448377,0.052020510890530176,13,134,15,169,808,0.08024691358024691,0.04113924050632911,0.172978505629478,390.0
HGST,LGBM,55,0.05,op,0.177,0.14075010535187527,0.0016969468880839254,19,56,87,60,917,0.11728395061728394,0.14074074074074075,0.06141248720573183,97.0
HGST,LGBM,56,0.001,row,0.02,0.11420143278550358,0.0011952768499788305,11,49,102,30,947,0.06790123456790123,0.12222222222222222,0.030706243602865915,142.0
HGST,LGBM,56,0.005,row,0.009000000000000001,0.24083438685208597,0.003571905725172884,22,62,78,48,929,0.13580246913580246,0.16666666666666666,0.04912998976458546,134.0
HGST,LGBM,56,0.01,row,0.006,0.39296249473240624,0.008200969092534224,14,94,54,59,918,0.08641975308641975,0.08383233532934131,0.06038894575230297,216.0
HGST,LGBM,56,0.02,row,0.003,0.5427728613569321,0.01867695347414969,13,105,44,91,886,0.08024691358024691,0.06220095693779904,0.0931422722620266,244.0
HGST,LGBM,56,0.02,op,0.639,0.06932153392330384,0.0004651644164275298,14,30,118,16,961,0.08641975308641975,0.23333333333333334,0.016376663254861822,74.5
HGST,LGBM,56,0.05,row,0.002,0.7528445006321113,0.055592792962318296,12,130,20,161,816,0.07407407407407407,0.039603960396039604,0.1647901740020471,420.5
HGST,LGBM,56,0.05,op,0.015,0.16624525916561314,0.002131627228677612,13,52,97,33,944,0.08024691358024691,0.1326530612244898,0.033776867963152504,141.0
HGST,LGBM,57,0.001,row,0.111,0.1430678466076696,0.0013597403208354896,22,59,81,40,937,0.13580246913580246,0.18181818181818182,0.04094165813715456,115.0
