ds,crit,metric,seed,by_rec,by_prec,rand,best
Toshiba,row,recall,55,0.1626794258373205,0.1961722488038277,0.18899521531100477,0.2200956937799043
Toshiba,row,recall,56,0.1674641148325359,0.2057416267942583,0.19617224880382772,0.215311004784689
Toshiba,row,recall,57,0.1770334928229665,0.215311004784689,0.1985645933014354,0.215311004784689
Toshiba,row,recall,58,0.1722488038277512,0.2200956937799043,0.19377990430622008,0.2200956937799043
Toshiba,row,recall,59,0.1674641148325359,0.1961722488038277,0.1901913875598086,0.2248803827751196
Toshiba,row,recall,60,0.1770334928229665,0.1961722488038277,0.19019138755980858,0.1961722488038277
Toshiba,row,recall,61,0.1722488038277512,0.215311004784689,0.20095693779904306,0.2296650717703349
Toshiba,row,recall,62,0.1818181818181818,0.215311004784689,0.1985645933014354,0.215311004784689
Toshiba,row,recall,63,0.1674641148325359,0.1961722488038277,0.18899521531100477,0.2248803827751196
Toshiba,row,recall,64,0.1770334928229665,0.1961722488038277,0.18899521531100472,0.2105263157894736
Toshiba,row,recall,65,0.1818181818181818,0.1961722488038277,0.1913875598086124,0.2248803827751196
Toshiba,row,recall,66,0.2200956937799043,0.1961722488038277,0.19258373205741625,0.2200956937799043
Toshiba,row,recall,67,0.1722488038277512,0.1961722488038277,0.19019138755980858,0.215311004784689
Toshiba,row,recall,68,0.1722488038277512,0.1961722488038277,0.1913875598086124,0.215311004784689
Toshiba,row,recall,69,0.2200956937799043,0.1961722488038277,0.19377990430622005,0.2200956937799043
Toshiba,row,recall,70,0.1339712918660287,0.1961722488038277,0.19019138755980858,0.2392344497607655
Toshiba,row,recall,71,0.1770334928229665,0.1961722488038277,0.1961722488038277,0.2296650717703349
Toshiba,row,precision,42,0.081858407079646,0.188034188034188,0.13452588454396924,0.188034188034188
Toshiba,row,precision,43,0.0752032520325203,0.1933962264150943,0.11483813096295568,0.1933962264150943
Toshiba,row,precision,44,0.0881670533642691,0.1933962264150943,0.12464217980742312,0.1933962264150943
Toshiba,row,precision,45,0.0878048780487804,0.1766917293233082,0.12392644897394613,0.1766917293233082
Toshiba,row,precision,46,0.085995085995086,0.1933962264150943,0.12453422357841422,0.1933962264150943
Toshiba,row,precision,47,0.0615942028985507,0.1933962264150943,0.1289994031624553,0.1933962264150943
Toshiba,row,precision,48,0.0747474747474747,0.1933962264150943,0.10782463436461753,0.1933962264150943
Toshiba,row,precision,49,0.1578947368421052,0.1933962264150943,0.13166222149023862,0.1933962264150943
Toshiba,row,precision,50,0.0751565762004175,0.1933962264150943,0.12945311071965304,0.1933962264150943
Toshiba,row,precision,51,0.0865384615384615,0.1931330472103004,0.12889597013387905,0.1931330472103004
