serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AGM23NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-04,,0.971
2AGM5UVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.10471945378234226,,2019-05-16,,0.971
2AGM5V7Y,1,1,2024-12-21,2025-12-05,349.0,Early,0,1,0,1,0,0,0.9999901824269614,0.9999901824269614,2019-05-16,2046.0,0.971
2AGM5VBY,0,1,2026-02-09,,,Censored Early,0,0,1,1,0,0,0.9993881873647643,0.9993881873647643,2019-05-16,2461.0,0.971
2AGM5VHY,1,0,,2025-01-18,,Missed,0,0,0,0,1,0,0.031830703107641724,,2019-08-14,,0.971
2AGM5W9Y,1,0,,2025-01-16,,Missed,0,0,0,0,1,0,0.033746978881469596,,2019-05-16,,0.971
2AGM5YEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010388611881816388,,2019-05-04,,0.971
2AGM8EMY,1,0,,2024-10-29,,Missed,0,0,0,0,1,0,0.3195327017429683,,2019-05-16,,0.971
2AGM8EUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGM8J2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007714711606215609,,2019-05-16,,0.971
2AGM8JAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGM8LNY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.9344937456394025,,2019-05-04,,0.971
2AGM8RJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.026149075631825995,,2019-08-13,,0.971
2AGM8RTY,0,1,2025-04-09,,,Censored Early,0,0,1,1,0,0,0.9993228563008036,0.9993228563008036,2019-05-16,2155.0,0.971
