threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.86,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.87,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.88,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.89,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.9,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.91,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.92,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.93,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.94,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.95,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.96,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.97,0.4230769230769231,0.10526315789473684,0.1685823754789272,0.0029506437768240345,0.5365853658536586,53.80487804878049,29.0,64.38687167814044,41,22,19,168,11,3717
0.98,0.4230769230769231,0.10526315789473684,0.1685823754789272,0.0029506437768240345,0.5365853658536586,53.80487804878049,29.0,64.38687167814044,41,22,19,168,11,3717
0.99,0.46,0.11004784688995216,0.1776061776061776,0.0029506437768240345,0.5897435897435898,50.333333333333336,25.0,66.00323742383665,39,23,16,170,11,3717
